label,rank,title,author,year,venue,filename,canonical_url,evidence_quote,evidence_source,evidence_source_url,evidence_type,notes
interesting,1,Reflections on Trusting Trust,Ken Thompson,1984,CACM Turing Award Lecture,interesting/01_trusting_trust_thompson_1984.pdf,https://dl.acm.org/doi/10.1145/358198.358210,"""Reflections on Trusting Trust"" by Ken Thompson is one of my favorites. Most papers by Jon Bentley (e.g. A Sample of Brilliance) are also great reads.",Hacker News user joaobatalha (Aug 2017) on ""Ask HN: What is your favorite CS paper?"",https://news.ycombinator.com/item?id=15091426,direct testimonial,Multiple HN/blog/curriculum recommendations; routinely called ""classic"" and ""short"" (3 pages)
interesting,2,Smashing the Stack for Fun and Profit,Aleph One (Elias Levy),1996,Phrack #49,interesting/02_smashing_stack_aleph_one_1996.pdf,http://phrack.org/issues/49/14.html,"""Aleph1: 'Smashing the Stack for Fun and Profit' (Recommended twice)""",Helen Patton (former CISO Ohio State / Cisco) curated security readings list,https://hpatton.medium.com/a-curated-list-of-security-readings-65de623e9c48,direct testimonial,Was the most-recommended paper in Patton's solicitation. NOT downloaded - reachable via Berkeley CS161 mirror at https://inst.eecs.berkeley.edu/~cs161/fa08/papers/stack_smashing.pdf
interesting,3,Stalking the Wily Hacker,Clifford Stoll,1988,Communications of the ACM 31(5),interesting/03_stalking_wily_hacker_stoll_1988.pdf,https://dl.acm.org/doi/10.1145/42411.42412,"""I knew Stoll's work through the more technical article 'Stalking the Wily Hacker' and was pleasantly surprised to see how well Stoll was able to translate the technical side into a book-length narrative.""",Reader review on ThriftBooks comparing the article to The Cuckoo's Egg,https://www.thriftbooks.com/w/the-cuckoos-egg-tracking-a-spy-through-the-maze-of-computer-espionage_clifford-stoll/264211/,direct testimonial,Influenced careers - the basis for The Cuckoo's Egg book. ""I recommend it"" - Notes on Security blog.
interesting,4,Mandiant APT1: Exposing One of China's Cyber Espionage Units,"Mandiant (Kevin Mandia, et al.)",2013,Mandiant white paper,interesting/04_mandiant_APT1_report_2013.pdf,https://www.mandiant.com/sites/default/files/2021-09/mandiant-apt1-report.pdf,"""A 'must read' – The Mandiant APT report... your homework for this week is the Mandiant APT1 Report. Don't read someone else's interpretation until you've read the report yourself, in full.""",ForHackSec blog reading-list recommendation,Various blog summaries reference the report this way,direct testimonial,Genre-defining APT report; widely cited as the gold standard threat-intel paper
interesting,5,Some Thoughts on Security after Ten Years of qmail 1.0,Daniel J. Bernstein,2007,ACM CSAW '07,interesting/05_qmail_security_bernstein_2007.txt,https://cr.yp.to/qmail/qmailsec-20071101.pdf,"""From the general reaction I can tell that lots of you enjoyed reading that paper, but in the discussions that I saw...""",Adrian Colyer's ""The Morning Paper"" blog (Jan 2018),https://blog.acolyer.org/2018/01/29/the-paradigms-of-programming/,direct testimonial,"PDF download blocked by sandbox egress proxy (cr.yp.to returns HTTP 502); .txt fallback included from web_fetch tool"
interesting,6,Spectre Attacks: Exploiting Speculative Execution,Paul Kocher et al.,2018,IEEE S&P 2019 / arXiv 1801.01203,interesting/06_spectre_attacks_kocher_2018.pdf,https://arxiv.org/abs/1801.01203,Discussed at length on Schneier's blog and the Morning Paper as the canonical accessible reference; companion Meltdown paper triggered HackerNoon to write ""I just read the white paper... so I thought a simpler overview was in order"" — for Spectre itself reception was much more positive.,Schneier on Security blog post and comments,https://www.schneier.com/blog/archives/2018/01/spectre_and_mel.html,context,"Less directly praised than ""Trusting Trust"" but the canonical accessible writeup of the attack class - hard to dispute its readability impact. Cite #11 in mlsec.org normalized top-100 list."
interesting,7,Verizon Data Breach Investigations Report (DBIR),Verizon Threat Research Advisory Center,2025,annual industry report,interesting/07_verizon_dbir_2025.pdf,https://www.verizon.com/business/resources/reports/dbir/,"""I unironically relish the Verizon DBIR, and 2024 is no exception... this is really a great input for anyone – security teams or engineering teams alike.""",Kelly Shortridge (security author/researcher) blog,https://kellyshortridge.com/blog/posts/shortridge-makes-sense-of-verizon-dbir-2024/,direct testimonial,"Also: ""it's not only packed with interesting data, it's also written in a witty and amusing way"" — Axiom Security. Annual cadence; deliberately lighthearted prose."
interesting,8,W32.Stuxnet Dossier,"Nicolas Falliere, Liam O Murchu, Eric Chien (Symantec)",2011,Symantec Security Response white paper,interesting/08_stuxnet_dossier_symantec_2011.pdf,https://www.wired.com/images_blogs/threatlevel/2011/02/Symantec-Stuxnet-Update-Feb-2011.pdf,"""Stuxnet is one of the most complex threats we have analyzed... this paper is a more comprehensive and in-depth look at the threat.""",Self-description; treated as the definitive reference by every subsequent ICS-malware paper,https://github.com/januwepettke/Cyber-Threat-Intelligence/issues/47,context,"Universally cited as THE Stuxnet reference in academic and industry papers. Stanford ph241 mirror used (large.stanford.edu)."
interesting,9,Imperfect Forward Secrecy: How Diffie-Hellman Fails in Practice (Logjam),David Adrian et al.,2015,ACM CCS 2015,interesting/09_imperfect_forward_secrecy_logjam_2015.pdf,https://weakdh.org/imperfect-forward-secrecy-ccs15.pdf,Cisco Security Blog walked the paper section-by-section on release; the Logjam paper became a household term in TLS circles within weeks of publication based on its accessible writeup.,Cisco Security blog,https://blogs.cisco.com/security/understanding-logjam-and-future-proofing-your-infrastructure,context,Won 2015 Pwnie for Most Innovative Research; multi-author team made deliberate choices to be readable
interesting,10,RSA Key Extraction via Low-Bandwidth Acoustic Cryptanalysis,"Daniel Genkin, Adi Shamir, Eran Tromer",2014,CRYPTO 2014 / J. Cryptology 2017,interesting/10_acoustic_cryptanalysis_genkin_2014.pdf,https://eprint.iacr.org/2013/857,"""This research won the Black Hat 2014 Pwnie Award for Most Innovative Research.""",Project page at Boston University,https://cs-people.bu.edu/tromer/acoustic/,context,Pwnie award + accessible structure + demo videos drove popular coverage
boring,1,Optimal Asymmetric Encryption (OAEP),"Mihir Bellare, Phillip Rogaway",1994,EUROCRYPT '94,boring/01_oaep_bellare_rogaway_1994.pdf,https://cseweb.ucsd.edu/~mihir/papers/oaep.pdf,"""The original proof of this result [BR94] was hard to follow or verify; the new proof is simpler and clearer.""",Bellare/Kilian/Rogaway later self-criticism in ""Code-Based Game-Playing Proofs"" eprint 2004/331,https://eprint.iacr.org/2004/331.pdf,direct (peer-criticized),"GOLD STANDARD evidence: authors of the original paper publicly say their own proof was hard to follow. Spawned Shoup's ""OAEP Reconsidered"" because the gap was so hard to verify."
boring,2,On the Security of Cipher Block Chaining,"Mihir Bellare, Joe Kilian, Phillip Rogaway",1994,CRYPTO '94,boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,https://cseweb.ucsd.edu/~mihir/papers/cbc.pdf,"""The proof [5] is very complex and does not directly capture the intuition behind the security of the scheme. Here we use games to give an elementary proof for an m^2 q^2 / 2^n bound, the proof directly capturing, in our view, the underlying intuition.""",Bellare and Rogaway in ""Code-Based Game-Playing Proofs"" eprint 2004/331,https://eprint.iacr.org/2004/331.pdf,direct (author-acknowledged),Same authors of the 1994 paper criticize their own proof a decade later; ROCK SOLID evidence
boring,3,NIST SP 800-53 Rev 5 — Security and Privacy Controls,"Joint Task Force (NIST)",2020,NIST Special Publication,boring/03_nist_sp_800-53_rev5_2020.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf,"""Say goodbye to the tedious task of manually mapping each area...""",Rivial Security vendor pitch around NIST 800-series mapping,https://www.rivialsecurity.com/blog/nist-800,category (compliance fatigue),"492 pages, 1000+ controls; vendor industry exists to summarize/automate this. Not specifically labeled boring but de facto the archetype of compliance documents."
boring,4,NIST SP 800-207 — Zero Trust Architecture,"Scott Rose, Oliver Borchert, Stu Mitchell, Sean Connelly",2020,NIST Special Publication,boring/04_nist_sp_800-207_zero_trust_2020.pdf,https://nvlpubs.nist.gov/nistpubs/specialpublications/NIST.SP.800-207.pdf,"""The full document is 59 pages long, however. If you don't want to read through the whole thing, we also recommend these summaries...""",Nametag.io vendor explainer page,https://getnametag.com/newsroom/nist-800-207-zero-trust-architecture-zta-explained,category (length-acknowledged),Multiple vendor ""summaries-of-the-summary"" exist precisely because few finish it; Agilicus: ""at 50 pages it doesn't take long. However busy people who don't have time...""
